,HOME_SEASON_ID,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_TEAM_NAME,HOME_GAME_ID,HOME_GAME_DATE,HOME_MATCHUP,HOME_WL,HOME_MIN,HOME_PTS,HOME_FGM,HOME_FGA,HOME_FG_PCT,HOME_FG3M,HOME_FG3A,HOME_FG3_PCT,HOME_FTM,HOME_FTA,HOME_FT_PCT,HOME_OREB,HOME_DREB,HOME_REB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PLUS_MINUS,AWAY_SEASON_ID,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_NAME,AWAY_GAME_ID,AWAY_GAME_DATE,AWAY_MATCHUP,AWAY_WL,AWAY_MIN,AWAY_PTS,AWAY_FGM,AWAY_FGA,AWAY_FG_PCT,AWAY_FG3M,AWAY_FG3A,AWAY_FG3_PCT,AWAY_FTM,AWAY_FTA,AWAY_FT_PCT,AWAY_OREB,AWAY_DREB,AWAY_REB,AWAY_AST,AWAY_STL,AWAY_BLK,AWAY_TOV,AWAY_PF,AWAY_PLUS_MINUS,ATTENDANCE
0,22022,1610612761,TOR,Toronto Raptors,0022200355,2022-12-05,TOR vs. BOS,0,240,110,39,85,0.459,10,28,0.357,22,30,0.733,12,34,46,19,6,5,13,20,-6.0,22022,1610612738,BOS,Boston Celtics,0022200355,2022-12-05,BOS @ TOR,1,240,116,44,90,0.489,13,36,0.361,15,21,0.714,13,36,49,27,6,3,11,22,6.0,19800.0
1,22022,1610612763,MEM,Memphis Grizzlies,0022200357,2022-12-05,MEM vs. MIA,1,240,101,42,90,0.467,8,32,0.25,9,9,1.0,4,37,41,23,10,5,11,14,8.0,22022,1610612748,MIA,Miami Heat,0022200357,2022-12-05,MIA @ MEM,0,240,93,31,79,0.392,14,40,0.35,17,22,0.773,9,36,45,23,7,3,16,11,-8.0,16122.0
2,22022,1610612745,HOU,Houston Rockets,0022200356,2022-12-05,HOU vs. PHI,1,289,132,42,94,0.447,14,39,0.359,34,44,0.773,16,35,51,19,9,3,19,27,9.0,22022,1610612755,PHI,Philadelphia 76ers,0022200356,2022-12-05,PHI @ HOU,0,288,123,39,87,0.448,17,36,0.472,28,36,0.778,11,28,39,23,10,6,19,34,-9.0,15331.0
3,22022,1610612766,CHA,Charlotte Hornets,0022200352,2022-12-05,CHA vs. LAC,0,240,117,47,98,0.48,12,34,0.353,11,17,0.647,14,35,49,29,8,4,10,16,-2.0,22022,1610612746,LAC,LA Clippers,0022200352,2022-12-05,LAC @ CHA,1,239,119,45,93,0.484,15,36,0.417,14,21,0.667,13,34,47,30,4,5,12,17,2.0,
4,22022,1610612742,DAL,Dallas Mavericks,0022200358,2022-12-05,DAL vs. PHX,1,239,130,44,84,0.524,20,41,0.488,22,26,0.846,10,31,41,23,7,6,12,23,19.0,22022,1610612756,PHX,Phoenix Suns,0022200358,2022-12-05,PHX @ DAL,0,242,111,40,91,0.44,13,37,0.351,18,26,0.692,13,28,41,28,5,5,11,16,-19.0,20227.0
5,22022,1610612744,GSW,Golden State Warriors,0022200359,2022-12-05,GSW vs. IND,0,240,104,38,94,0.404,13,44,0.295,15,19,0.789,12,35,47,26,6,6,12,19,-8.0,22022,1610612754,IND,Indiana Pacers,0022200359,2022-12-05,IND @ GSW,1,240,112,43,90,0.478,15,39,0.385,11,18,0.611,7,40,47,26,3,8,11,18,8.0,18064.0
6,22022,1610612737,ATL,Atlanta Hawks,0022200354,2022-12-05,ATL vs. OKC,0,239,114,44,102,0.431,13,38,0.342,13,17,0.765,17,37,54,24,7,4,18,24,-7.0,22022,1610612760,OKC,Oklahoma City Thunder,0022200354,2022-12-05,OKC @ ATL,1,240,121,43,95,0.453,12,34,0.353,23,24,0.958,14,35,49,25,8,4,16,19,7.0,16301.0
7,22022,1610612753,ORL,Orlando Magic,0022200353,2022-12-05,ORL vs. MIL,0,240,102,34,93,0.366,8,32,0.25,26,29,0.897,15,37,52,21,8,2,13,19,-7.0,22022,1610612749,MIL,Milwaukee Bucks,0022200353,2022-12-05,MIL @ ORL,1,239,109,38,85,0.447,13,40,0.325,20,26,0.769,7,38,45,31,9,4,17,20,7.0,16174.0
8,22022,1610612748,MIA,Miami Heat,0022200361,2022-12-06,MIA vs. DET,0,241,96,33,77,0.429,10,32,0.313,20,26,0.769,7,33,40,21,7,2,15,20,-20.0,22022,1610612765,DET,Detroit Pistons,0022200361,2022-12-06,DET @ MIA,1,240,116,43,87,0.494,19,41,0.463,11,15,0.733,9,31,40,27,8,1,12,19,20.0,19600.0
9,22022,1610612743,DEN,Denver Nuggets,0022200362,2022-12-06,DEN vs. DAL,0,241,115,40,78,0.513,13,32,0.406,22,28,0.786,8,28,36,30,8,4,17,28,-1.0,22022,1610612742,DAL,Dallas Mavericks,0022200362,2022-12-06,DAL @ DEN,1,239,116,36,72,0.5,17,36,0.472,27,31,0.871,4,31,35,27,10,4,15,32,1.0,19520.0
10,22022,1610612739,CLE,Cleveland Cavaliers,0022200360,2022-12-06,CLE vs. LAL,1,241,116,48,93,0.516,7,27,0.259,13,17,0.765,9,35,44,25,11,3,7,20,14.0,22022,1610612747,LAL,Los Angeles Lakers,0022200360,2022-12-06,LAL @ CLE,0,240,102,38,89,0.427,6,36,0.167,20,24,0.833,14,29,43,16,4,6,16,13,-14.0,19432.0
11,22022,1610612749,MIL,Milwaukee Bucks,0022200369,2022-12-07,MIL vs. SAC,1,240,126,46,96,0.479,14,33,0.424,20,24,0.833,17,33,50,34,3,2,7,15,13.0,22022,1610612758,SAC,Sacramento Kings,0022200369,2022-12-07,SAC @ MIL,0,239,113,43,91,0.473,12,38,0.316,15,16,0.938,8,32,40,19,2,4,8,17,-13.0,17341.0
12,22022,1610612750,MIN,Minnesota Timberwolves,0022200370,2022-12-07,MIN vs. IND,1,240,121,44,93,0.473,8,23,0.348,25,27,0.926,16,35,51,25,15,2,21,21,6.0,22022,1610612754,IND,Indiana Pacers,0022200370,2022-12-07,IND @ MIN,0,240,115,39,81,0.481,19,42,0.452,18,24,0.75,4,27,31,22,10,4,19,17,-6.0,15472.0
13,22022,1610612761,TOR,Toronto Raptors,0022200366,2022-12-07,TOR vs. LAL,1,239,126,47,106,0.443,12,43,0.279,20,24,0.833,17,37,54,25,10,5,11,22,13.0,22022,1610612747,LAL,Los Angeles Lakers,0022200366,2022-12-07,LAL @ TOR,0,240,113,37,87,0.425,7,33,0.212,32,35,0.914,10,36,46,16,6,3,15,17,-13.0,19800.0
14,22022,1610612753,ORL,Orlando Magic,0022200363,2022-12-07,ORL vs. LAC,1,265,116,40,95,0.421,8,28,0.286,28,31,0.903,16,37,53,20,8,5,12,21,5.0,22022,1610612746,LAC,LA Clippers,0022200363,2022-12-07,LAC @ ORL,0,265,111,39,95,0.411,15,41,0.366,18,26,0.692,17,36,53,26,3,9,15,19,-5.0,
15,22022,1610612756,PHX,Phoenix Suns,0022200373,2022-12-07,PHX vs. BOS,0,240,98,37,93,0.398,8,32,0.25,16,19,0.842,13,36,49,19,5,4,18,17,-27.0,22022,1610612738,BOS,Boston Celtics,0022200373,2022-12-07,BOS @ PHX,1,239,125,49,101,0.485,16,45,0.356,11,13,0.846,11,42,53,29,14,3,12,20,27.0,17071.0
16,22022,1610612751,BKN,Brooklyn Nets,0022200364,2022-12-07,BKN vs. CHA,1,239,122,49,86,0.57,12,31,0.387,12,16,0.75,5,34,39,33,3,8,10,20,6.0,22022,1610612766,CHA,Charlotte Hornets,0022200364,2022-12-07,CHA @ BKN,0,240,116,47,88,0.534,10,24,0.417,12,23,0.522,10,30,40,25,4,3,11,18,-6.0,16903.0
17,22022,1610612741,CHI,Chicago Bulls,0022200367,2022-12-07,CHI vs. WAS,1,239,115,45,90,0.5,10,23,0.435,15,17,0.882,6,35,41,29,11,4,19,20,4.0,22022,1610612764,WAS,Washington Wizards,0022200367,2022-12-07,WAS @ CHI,0,241,111,41,84,0.488,9,31,0.29,20,29,0.69,6,32,38,22,12,6,18,16,-4.0,19265.0
18,22022,1610612740,NOP,New Orleans Pelicans,0022200371,2022-12-07,NOP vs. DET,1,240,104,39,85,0.459,8,27,0.296,18,23,0.783,10,40,50,21,8,9,18,21,6.0,22022,1610612765,DET,Detroit Pistons,0022200371,2022-12-07,DET @ NOP,0,242,98,35,90,0.389,15,42,0.357,13,16,0.813,8,34,42,17,5,1,12,23,-6.0,14073.0
19,22022,1610612752,NYK,New York Knicks,0022200365,2022-12-07,NYK vs. ATL,1,240,113,37,83,0.446,17,36,0.472,22,24,0.917,13,42,55,26,6,2,14,23,24.0,22022,1610612737,ATL,Atlanta Hawks,0022200365,2022-12-07,ATL @ NYK,0,241,89,32,85,0.376,6,36,0.167,19,24,0.792,11,28,39,16,4,6,11,17,-24.0,18091.0
20,22022,1610612762,UTA,Utah Jazz,0022200372,2022-12-07,UTA vs. GSW,1,240,124,46,86,0.535,15,35,0.429,17,21,0.81,9,31,40,26,6,7,17,17,1.0,22022,1610612744,GSW,Golden State Warriors,0022200372,2022-12-07,GSW @ UTA,0,241,123,45,98,0.459,14,42,0.333,19,25,0.76,14,28,42,26,8,5,14,18,-1.0,18206.0
21,22022,1610612763,MEM,Memphis Grizzlies,0022200368,2022-12-07,MEM vs. OKC,1,240,123,48,94,0.511,14,38,0.368,13,16,0.813,10,40,50,32,13,9,14,19,21.0,22022,1610612760,OKC,Oklahoma City Thunder,0022200368,2022-12-07,OKC @ MEM,0,241,102,34,92,0.37,14,38,0.368,20,23,0.87,14,34,48,25,9,3,18,16,-21.0,15942.0
22,22022,1610612759,SAS,San Antonio Spurs,0022200375,2022-12-08,SAS vs. HOU,1,241,118,46,83,0.554,13,36,0.361,13,15,0.867,7,31,38,25,5,7,16,19,9.0,22022,1610612745,HOU,Houston Rockets,0022200375,2022-12-08,HOU @ SAS,0,243,109,44,98,0.449,10,29,0.345,11,15,0.733,16,26,42,23,3,4,14,19,-9.0,13140.0
23,22022,1610612757,POR,Portland Trail Blazers,0022200376,2022-12-08,POR vs. DEN,0,239,120,44,91,0.484,16,40,0.4,16,16,1.0,13,25,38,30,10,3,12,20,-1.0,22022,1610612743,DEN,Denver Nuggets,0022200376,2022-12-08,DEN @ POR,1,240,121,47,91,0.516,12,30,0.4,15,22,0.682,16,32,48,28,6,5,16,16,1.0,18189.0
24,22022,1610612748,MIA,Miami Heat,0022200374,2022-12-08,MIA vs. LAC,1,240,115,46,90,0.511,12,32,0.375,11,14,0.786,7,36,43,24,11,1,8,20,5.0,22022,1610612746,LAC,LA Clippers,0022200374,2022-12-08,LAC @ MIA,0,239,110,37,80,0.463,17,36,0.472,19,21,0.905,7,36,43,24,3,3,16,16,-5.0,
25,22022,1610612763,MEM,Memphis Grizzlies,0022200383,2022-12-09,MEM vs. DET,1,241,114,44,91,0.484,9,32,0.281,17,32,0.531,12,36,48,30,11,8,14,19,11.0,22022,1610612765,DET,Detroit Pistons,0022200383,2022-12-09,DET @ MEM,0,239,103,36,90,0.4,11,35,0.314,20,27,0.741,13,34,47,23,6,7,19,29,-11.0,17103.0
26,22022,1610612766,CHA,Charlotte Hornets,0022200377,2022-12-09,CHA vs. NYK,0,239,102,37,84,0.44,6,26,0.231,22,28,0.786,12,33,45,16,8,6,12,26,-19.0,22022,1610612752,NYK,New York Knicks,0022200377,2022-12-09,NYK @ CHA,1,240,121,41,93,0.441,13,34,0.382,26,30,0.867,16,32,48,25,6,7,11,21,19.0,17696.0
27,22022,1610612742,DAL,Dallas Mavericks,0022200386,2022-12-09,DAL vs. MIL,0,240,105,41,88,0.466,13,40,0.325,10,24,0.417,12,31,43,21,8,6,10,21,-1.0,22022,1610612749,MIL,Milwaukee Bucks,0022200386,2022-12-09,MIL @ DAL,1,239,106,38,87,0.437,11,32,0.344,19,23,0.826,13,38,51,27,5,4,15,21,1.0,20277.0
28,22022,1610612755,PHI,Philadelphia 76ers,0022200382,2022-12-09,PHI vs. LAL,1,263,133,48,90,0.533,18,40,0.45,19,22,0.864,7,35,42,30,14,2,21,30,11.0,22022,1610612747,LAL,Los Angeles Lakers,0022200382,2022-12-09,LAL @ PHI,0,264,122,44,88,0.5,11,31,0.355,23,30,0.767,7,30,37,29,12,4,19,23,-11.0,20852.0
29,22022,1610612754,IND,Indiana Pacers,0022200378,2022-12-09,IND vs. WAS,1,240,121,43,85,0.506,18,41,0.439,17,20,0.85,13,27,40,23,7,2,11,21,10.0,22022,1610612764,WAS,Washington Wizards,0022200378,2022-12-09,WAS @ IND,0,241,111,41,77,0.532,10,29,0.345,19,25,0.76,12,26,38,25,6,3,14,19,-10.0,15039.0
30,22022,1610612739,CLE,Cleveland Cavaliers,0022200381,2022-12-09,CLE vs. SAC,0,241,95,34,79,0.43,10,30,0.333,17,22,0.773,8,28,36,20,7,4,19,23,-11.0,22022,1610612758,SAC,Sacramento Kings,0022200381,2022-12-09,SAC @ CLE,1,240,106,35,66,0.53,16,33,0.485,20,32,0.625,5,33,38,21,11,5,17,22,11.0,19432.0
31,22022,1610612762,UTA,Utah Jazz,0022200385,2022-12-09,UTA vs. MIN,0,240,108,39,90,0.433,13,44,0.295,17,24,0.708,12,28,40,22,9,0,11,20,-10.0,22022,1610612750,MIN,Minnesota Timberwolves,0022200385,2022-12-09,MIN @ UTA,1,240,118,42,79,0.532,14,35,0.4,20,26,0.769,6,38,44,30,7,3,17,21,10.0,18206.0
32,22022,1610612740,NOP,New Orleans Pelicans,0022200384,2022-12-09,NOP vs. PHX,1,239,128,46,90,0.511,8,27,0.296,28,35,0.8,13,31,44,27,10,1,11,15,11.0,22022,1610612756,PHX,Phoenix Suns,0022200384,2022-12-09,PHX @ NOP,0,241,117,43,86,0.5,22,44,0.5,9,13,0.692,8,29,37,30,6,3,16,25,-11.0,16381.0
33,22022,1610612753,ORL,Orlando Magic,0022200379,2022-12-09,ORL vs. TOR,1,239,113,42,71,0.592,10,26,0.385,19,21,0.905,3,40,43,24,3,4,18,27,4.0,22022,1610612761,TOR,Toronto Raptors,0022200379,2022-12-09,TOR @ ORL,0,240,109,36,85,0.424,10,35,0.286,27,33,0.818,7,26,33,23,10,5,7,17,-4.0,17008.0
34,22022,1610612751,BKN,Brooklyn Nets,0022200380,2022-12-09,BKN vs. ATL,1,238,120,45,83,0.542,13,30,0.433,17,21,0.81,9,29,38,30,10,5,21,18,4.0,22022,1610612737,ATL,Atlanta Hawks,0022200380,2022-12-09,ATL @ BKN,0,240,116,46,93,0.495,10,29,0.345,14,16,0.875,12,26,38,21,12,4,18,18,-4.0,18072.0
35,22022,1610612764,WAS,Washington Wizards,0022200389,2022-12-10,WAS vs. LAC,0,121,63,22,44,0.5,10,21,0.476,9,10,0.9,5,19,24,14,5,1,5,6,3.0,22022,1610612746,LAC,LA Clippers,0022200389,2022-12-10,LAC @ WAS,0,120,60,23,48,0.479,10,24,0.417,4,5,0.8,4,14,18,10,4,4,6,8,-3.0,
36,22022,1610612748,MIA,Miami Heat,0022200387,2022-12-10,MIA vs. SAS,0,238,111,39,81,0.481,13,34,0.382,20,28,0.714,5,27,32,26,5,3,10,22,-3.2,22022,1610612759,SAS,San Antonio Spurs,0022200387,2022-12-10,SAS @ MIA,1,240,115,42,78,0.538,7,21,0.333,24,31,0.774,9,37,46,24,8,4,18,21,3.8,
37,22022,1610612741,CHI,Chicago Bulls,0022200391,2022-12-10,CHI vs. DAL,0,0,6,2,5,0.4,2,4,0.5,0,0,,0,3,3,2,0,0,0,0,2.0,22022,1610612742,DAL,Dallas Mavericks,0022200391,2022-12-10,DAL @ CHI,0,0,4,2,5,0.4,0,3,0.0,0,0,,0,2,2,1,0,0,0,0,-2.0,
38,22022,1610612754,IND,Indiana Pacers,0022200388,2022-12-10,IND vs. BKN,0,120,76,28,48,0.583,12,23,0.522,8,8,1.0,4,14,18,17,4,1,6,11,1.6,22022,1610612751,BKN,Brooklyn Nets,0022200388,2022-12-10,BKN @ IND,0,120,69,27,52,0.519,4,15,0.267,11,15,0.733,13,14,27,9,5,1,9,12,-1.6,
39,22022,1610612739,CLE,Cleveland Cavaliers,0022200390,2022-12-10,CLE vs. OKC,0,60,33,12,24,0.5,4,8,0.5,5,9,0.556,1,15,16,8,0,2,1,6,6.0,22022,1610612760,OKC,Oklahoma City Thunder,0022200390,2022-12-10,OKC @ CLE,0,60,25,9,27,0.333,1,8,0.125,6,9,0.667,4,12,16,5,1,1,1,7,-6.0,
